"hosp_id","ward","dt","beds_occ","beds_cap"
"CENTRAL","ICU",2023-01-01,10,12
"CENTRAL","ICU",2023-01-02,11,12
"CENTRAL","ICU",2023-01-03,8,12
"CENTRAL","ICU",2023-01-04,11,12
"CENTRAL","ICU",2023-01-05,9,12
"CENTRAL","ICU",2023-01-06,11,12
"CENTRAL","ICU",2023-01-07,9,12
"CENTRAL","ICU",2023-01-08,10,12
"CENTRAL","ICU",2023-01-09,8,12
"CENTRAL","ICU",2023-01-10,10,12
"CENTRAL","ICU",2023-01-11,10,12
"CENTRAL","ICU",2023-01-12,11,12
"CENTRAL","ICU",2023-01-13,11,12
"CENTRAL","ICU",2023-01-14,6,12
"CENTRAL","ICU",2023-01-15,11,12
"CENTRAL","ICU",2023-01-16,10,12
"CENTRAL","ICU",2023-01-17,11,12
"CENTRAL","ICU",2023-01-18,9,12
"CENTRAL","ICU",2023-01-19,11,12
"CENTRAL","ICU",2023-01-20,9,12
"CENTRAL","ICU",2023-01-21,11,12
"CENTRAL","ICU",2023-01-22,11,12
"CENTRAL","ICU",2023-01-23,10,12
"CENTRAL","ICU",2023-01-24,10,12
"CENTRAL","ICU",2023-01-25,11,12
"CENTRAL","ICU",2023-01-26,10,12
"CENTRAL","ICU",2023-01-27,10,12
"CENTRAL","ICU",2023-01-28,11,12
"CENTRAL","ICU",2023-01-29,11,12
"CENTRAL","ICU",2023-01-30,9,12
"CENTRAL","Respiratory",2023-01-01,18,24
"CENTRAL","Respiratory",2023-01-02,22,24
"CENTRAL","Respiratory",2023-01-03,19,24
"CENTRAL","Respiratory",2023-01-04,16,24
"CENTRAL","Respiratory",2023-01-05,16,24
"CENTRAL","Respiratory",2023-01-06,20,24
"CENTRAL","Respiratory",2023-01-07,19,24
"CENTRAL","Respiratory",2023-01-08,16,24
"CENTRAL","Respiratory",2023-01-09,18,24
"CENTRAL","Respiratory",2023-01-10,21,24
"CENTRAL","Respiratory",2023-01-11,21,24
"CENTRAL","Respiratory",2023-01-12,21,24
"CENTRAL","Respiratory",2023-01-13,21,24
"CENTRAL","Respiratory",2023-01-14,20,24
"CENTRAL","Respiratory",2023-01-15,16,24
"CENTRAL","Respiratory",2023-01-16,19,24
"CENTRAL","Respiratory",2023-01-17,21,24
"CENTRAL","Respiratory",2023-01-18,23,24
"CENTRAL","Respiratory",2023-01-19,20,24
"CENTRAL","Respiratory",2023-01-20,19,24
"CENTRAL","Respiratory",2023-01-21,21,24
"CENTRAL","Respiratory",2023-01-22,21,24
"CENTRAL","Respiratory",2023-01-23,21,24
"CENTRAL","Respiratory",2023-01-24,18,24
"CENTRAL","Respiratory",2023-01-25,22,24
"CENTRAL","Respiratory",2023-01-26,22,24
"CENTRAL","Respiratory",2023-01-27,18,24
"CENTRAL","Respiratory",2023-01-28,18,24
"CENTRAL","Respiratory",2023-01-29,21,24
"CENTRAL","Respiratory",2023-01-30,20,24
"CENTRAL","General_Med",2023-01-01,38,40
"CENTRAL","General_Med",2023-01-02,32,40
"CENTRAL","General_Med",2023-01-03,31,40
"CENTRAL","General_Med",2023-01-04,35,40
"CENTRAL","General_Med",2023-01-05,32,40
"CENTRAL","General_Med",2023-01-06,35,40
"CENTRAL","General_Med",2023-01-07,30,40
"CENTRAL","General_Med",2023-01-08,38,40
"CENTRAL","General_Med",2023-01-09,33,40
"CENTRAL","General_Med",2023-01-10,34,40
"CENTRAL","General_Med",2023-01-11,32,40
"CENTRAL","General_Med",2023-01-12,27,40
"CENTRAL","General_Med",2023-01-13,34,40
"CENTRAL","General_Med",2023-01-14,30,40
"CENTRAL","General_Med",2023-01-15,30,40
"CENTRAL","General_Med",2023-01-16,36,40
"CENTRAL","General_Med",2023-01-17,34,40
"CENTRAL","General_Med",2023-01-18,33,40
"CENTRAL","General_Med",2023-01-19,34,40
"CENTRAL","General_Med",2023-01-20,28,40
"CENTRAL","General_Med",2023-01-21,32,40
"CENTRAL","General_Med",2023-01-22,34,40
"CENTRAL","General_Med",2023-01-23,36,40
"CENTRAL","General_Med",2023-01-24,28,40
"CENTRAL","General_Med",2023-01-25,33,40
"CENTRAL","General_Med",2023-01-26,36,40
"CENTRAL","General_Med",2023-01-27,38,40
"CENTRAL","General_Med",2023-01-28,31,40
"CENTRAL","General_Med",2023-01-29,33,40
"CENTRAL","General_Med",2023-01-30,36,40
