"date_reported","hospital","ward_name","n_occupied","n_beds"
2023-01-05,"HILL_COUNTY","ICU",4,10
2023-01-06,"HILL_COUNTY","ICU",8,10
2023-01-07,"HILL_COUNTY","ICU",8,10
2023-01-08,"HILL_COUNTY","ICU",9,10
2023-01-09,"HILL_COUNTY","ICU",10,10
2023-01-10,"HILL_COUNTY","ICU",6,10
2023-01-11,"HILL_COUNTY","ICU",8,10
2023-01-12,"HILL_COUNTY","ICU",4,10
2023-01-13,"HILL_COUNTY","ICU",7,10
2023-01-14,"HILL_COUNTY","ICU",9,10
2023-01-15,"HILL_COUNTY","ICU",9,10
2023-01-16,"HILL_COUNTY","ICU",9,10
2023-01-17,"HILL_COUNTY","ICU",10,10
2023-01-18,"HILL_COUNTY","ICU",7,10
2023-01-19,"HILL_COUNTY","ICU",8,10
2023-01-20,"HILL_COUNTY","ICU",6,10
2023-01-21,"HILL_COUNTY","ICU",7,10
2023-01-22,"HILL_COUNTY","ICU",9,10
2023-01-23,"HILL_COUNTY","ICU",8,10
2023-01-24,"HILL_COUNTY","ICU",6,10
2023-01-25,"HILL_COUNTY","ICU",7,10
2023-01-26,"HILL_COUNTY","ICU",6,10
2023-01-27,"HILL_COUNTY","ICU",7,10
2023-01-28,"HILL_COUNTY","ICU",8,10
2023-01-29,"HILL_COUNTY","ICU",10,10
2023-01-30,"HILL_COUNTY","ICU",9,10
2023-01-31,"HILL_COUNTY","ICU",6,10
2023-02-01,"HILL_COUNTY","ICU",9,10
2023-02-02,"HILL_COUNTY","ICU",8,10
2023-02-03,"HILL_COUNTY","ICU",7,10
2023-01-05,"HILL_COUNTY","Resp",17,20
2023-01-06,"HILL_COUNTY","Resp",17,20
2023-01-07,"HILL_COUNTY","Resp",12,20
2023-01-08,"HILL_COUNTY","Resp",12,20
2023-01-09,"HILL_COUNTY","Resp",15,20
2023-01-10,"HILL_COUNTY","Resp",18,20
2023-01-11,"HILL_COUNTY","Resp",17,20
2023-01-12,"HILL_COUNTY","Resp",20,20
2023-01-13,"HILL_COUNTY","Resp",13,20
2023-01-14,"HILL_COUNTY","Resp",17,20
2023-01-15,"HILL_COUNTY","Resp",19,20
2023-01-16,"HILL_COUNTY","Resp",14,20
2023-01-17,"HILL_COUNTY","Resp",19,20
2023-01-18,"HILL_COUNTY","Resp",18,20
2023-01-19,"HILL_COUNTY","Resp",17,20
2023-01-20,"HILL_COUNTY","Resp",15,20
2023-01-21,"HILL_COUNTY","Resp",17,20
2023-01-22,"HILL_COUNTY","Resp",16,20
2023-01-23,"HILL_COUNTY","Resp",12,20
2023-01-24,"HILL_COUNTY","Resp",19,20
2023-01-25,"HILL_COUNTY","Resp",15,20
2023-01-26,"HILL_COUNTY","Resp",16,20
2023-01-27,"HILL_COUNTY","Resp",14,20
2023-01-28,"HILL_COUNTY","Resp",14,20
2023-01-29,"HILL_COUNTY","Resp",15,20
2023-01-30,"HILL_COUNTY","Resp",12,20
2023-01-31,"HILL_COUNTY","Resp",17,20
2023-02-01,"HILL_COUNTY","Resp",13,20
2023-02-02,"HILL_COUNTY","Resp",15,20
2023-02-03,"HILL_COUNTY","Resp",14,20
2023-01-05,"HILL_COUNTY","Gen_Med",23,36
2023-01-06,"HILL_COUNTY","Gen_Med",31,36
2023-01-07,"HILL_COUNTY","Gen_Med",32,36
2023-01-08,"HILL_COUNTY","Gen_Med",27,36
2023-01-09,"HILL_COUNTY","Gen_Med",26,36
2023-01-10,"HILL_COUNTY","Gen_Med",31,36
2023-01-11,"HILL_COUNTY","Gen_Med",30,36
2023-01-12,"HILL_COUNTY","Gen_Med",31,36
2023-01-13,"HILL_COUNTY","Gen_Med",29,36
2023-01-14,"HILL_COUNTY","Gen_Med",23,36
2023-01-15,"HILL_COUNTY","Gen_Med",31,36
2023-01-16,"HILL_COUNTY","Gen_Med",28,36
2023-01-17,"HILL_COUNTY","Gen_Med",30,36
2023-01-18,"HILL_COUNTY","Gen_Med",31,36
2023-01-19,"HILL_COUNTY","Gen_Med",30,36
2023-01-20,"HILL_COUNTY","Gen_Med",24,36
2023-01-21,"HILL_COUNTY","Gen_Med",27,36
2023-01-22,"HILL_COUNTY","Gen_Med",26,36
2023-01-23,"HILL_COUNTY","Gen_Med",21,36
2023-01-24,"HILL_COUNTY","Gen_Med",24,36
2023-01-25,"HILL_COUNTY","Gen_Med",30,36
2023-01-26,"HILL_COUNTY","Gen_Med",32,36
2023-01-27,"HILL_COUNTY","Gen_Med",27,36
2023-01-28,"HILL_COUNTY","Gen_Med",31,36
2023-01-29,"HILL_COUNTY","Gen_Med",31,36
2023-01-30,"HILL_COUNTY","Gen_Med",30,36
2023-01-31,"HILL_COUNTY","Gen_Med",29,36
2023-02-01,"HILL_COUNTY","Gen_Med",28,36
2023-02-02,"HILL_COUNTY","Gen_Med",30,36
2023-02-03,"HILL_COUNTY","Gen_Med",25,36
